                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8402,                0.75065,                 1.0661,                0.51441,                0.51643,                0.46267,                0.25046,                 1.7605,                 1.8245,                  1.662,             0.00092268,             0.00092268,             0.00092268
                     36,                0.84129,                0.76299,                   1.07,                0.49894,                0.54875,                0.49521,                0.27277,                 1.7411,                 1.7255,                 1.6819,             0.00090779,             0.00090779,             0.00090779
                     37,                0.81817,                0.73766,                 1.0569,                0.51175,                0.52801,                0.48063,                0.25882,                 1.7013,                 1.6844,                 1.6281,              0.0008929,              0.0008929,              0.0008929
                     38,                 0.8235,                0.73623,                 1.0472,                0.55025,                0.49344,                0.46132,                0.25295,                 1.7238,                 1.7508,                 1.6436,             0.00087801,             0.00087801,             0.00087801
                     39,                0.79436,                0.72901,                 1.0421,                0.51116,                0.49066,                0.47058,                 0.2631,                 1.7374,                 1.7328,                 1.6488,             0.00086312,             0.00086312,             0.00086312
                     40,                0.80693,                0.73568,                 1.0526,                0.53535,                0.49989,                0.49572,                0.28507,                 1.6704,                 1.6626,                 1.5898,             0.00084822,             0.00084822,             0.00084822
                     41,                0.78596,                0.70047,                 1.0433,                0.55276,                0.47729,                0.49752,                0.28671,                 1.6545,                 1.6388,                 1.5909,             0.00083333,             0.00083333,             0.00083333
                     42,                0.80359,                0.71846,                 1.0522,                0.55095,                0.51641,                0.52244,                0.29502,                  1.667,                 1.6428,                 1.6001,             0.00081844,             0.00081844,             0.00081844
                     43,                0.76792,                0.68772,                 1.0333,                0.53036,                 0.5292,                0.49594,                  0.284,                 1.6306,                 1.6163,                 1.5941,             0.00080355,             0.00080355,             0.00080355
                     44,                0.77329,                 0.6977,                 1.0437,                0.48854,                0.55505,                0.49963,                0.28222,                 1.6899,                 1.6856,                 1.6104,             0.00078866,             0.00078866,             0.00078866
                     45,                0.76542,                0.66788,                 1.0353,                0.56103,                0.48949,                0.49934,                0.28126,                 1.6761,                 1.6776,                 1.6087,             0.00077377,             0.00077377,             0.00077377
                     46,                0.77048,                0.67886,                 1.0314,                0.53072,                0.56398,                0.50107,                 0.2832,                 1.6571,                 1.6265,                 1.5682,             0.00075887,             0.00075887,             0.00075887
                     47,                 0.7307,                0.65618,                 1.0192,                0.62869,                0.49138,                0.50826,                0.29596,                 1.6495,                 1.6092,                 1.5902,             0.00074398,             0.00074398,             0.00074398
                     48,                0.74567,                0.65696,                 1.0215,                0.61378,                0.54078,                0.54802,                0.31162,                 1.6429,                 1.5236,                 1.5743,             0.00072909,             0.00072909,             0.00072909
                     49,                0.73874,                 0.6561,                  1.021,                0.56951,                0.54918,                0.52165,                0.29419,                 1.6433,                 1.6017,                  1.549,              0.0007142,              0.0007142,              0.0007142
                     50,                0.72218,                0.65016,                 1.0183,                0.57635,                0.52892,                0.52369,                0.29957,                 1.6091,                   1.57,                  1.557,             0.00069931,             0.00069931,             0.00069931
                     51,                0.71757,                0.64165,                 1.0158,                0.59241,                0.50766,                0.52187,                0.30618,                 1.5977,                 1.5533,                 1.5328,             0.00068442,             0.00068442,             0.00068442
                     52,                0.70785,                0.63409,                 1.0083,                0.50656,                0.59157,                0.53136,                0.29847,                 1.6257,                 1.5517,                 1.5649,             0.00066952,             0.00066952,             0.00066952
                     53,                0.72082,                0.64462,                 1.0226,                0.56309,                0.55433,                0.53936,                0.30382,                 1.5935,                 1.5531,                 1.5433,             0.00065463,             0.00065463,             0.00065463
                     54,                0.69869,                0.62511,                0.99717,                0.56558,                0.53946,                0.53731,                  0.312,                 1.6137,                  1.578,                 1.5499,             0.00063974,             0.00063974,             0.00063974
                     55,                0.70172,                0.61259,                 1.0017,                0.52603,                0.56428,                0.54767,                0.32789,                   1.59,                   1.52,                  1.526,             0.00062485,             0.00062485,             0.00062485
                     56,                0.68989,                0.61799,                 1.0024,                0.59485,                0.52611,                0.53111,                0.31919,                 1.6057,                 1.5135,                 1.5398,             0.00060996,             0.00060996,             0.00060996
                     57,                 0.6777,                0.59683,                 1.0026,                0.61247,                 0.5276,                0.53003,                0.31265,                 1.5687,                  1.528,                 1.5324,             0.00059507,             0.00059507,             0.00059507
                     58,                0.68029,                0.60984,                      1,                0.59826,                0.54024,                0.54845,                0.31736,                 1.5981,                 1.5318,                 1.5331,             0.00058017,             0.00058017,             0.00058017
                     59,                0.68224,                0.60307,                0.99467,                 0.5847,                0.54907,                0.55444,                0.32284,                 1.5743,                 1.5223,                 1.5229,             0.00056528,             0.00056528,             0.00056528
                     60,                0.67057,                0.59026,                0.99266,                 0.5556,                0.56781,                0.54538,                0.32119,                 1.5733,                 1.5538,                 1.5249,             0.00055954,             0.00055954,             0.00055954
                     61,                0.68102,                0.60781,                 1.0015,                0.61241,                0.56311,                0.56759,                0.33549,                 1.5463,                 1.4739,                 1.4986,             0.00054481,             0.00054481,             0.00054481
                     62,                0.67016,                0.59096,                0.99806,                0.56912,                0.54786,                0.55246,                0.32441,                 1.5671,                 1.4995,                 1.5266,             0.00053007,             0.00053007,             0.00053007
                     63,                0.66109,                 0.5839,                0.98707,                0.61032,                0.55085,                0.55715,                0.33903,                 1.5411,                  1.489,                 1.5389,             0.00051533,             0.00051533,             0.00051533
                     64,                0.64103,                0.55822,                0.98085,                0.60614,                0.57091,                0.57742,                0.34665,                 1.5158,                 1.4365,                 1.4778,              0.0005006,              0.0005006,              0.0005006
                     65,                0.65557,                0.56973,                0.99332,                0.64463,                0.56554,                0.59398,                0.35723,                 1.5374,                 1.4618,                 1.4961,             0.00048586,             0.00048586,             0.00048586
                     66,                0.64176,                0.55861,                0.98463,                0.54134,                0.57405,                0.56545,                 0.3446,                 1.5463,                 1.4764,                 1.5076,             0.00047112,             0.00047112,             0.00047112
                     67,                0.64496,                0.57276,                0.98588,                0.58414,                0.58157,                0.57862,                0.35079,                 1.5302,                 1.4432,                 1.4831,             0.00045639,             0.00045639,             0.00045639
                     68,                0.63742,                0.56892,                0.97988,                0.58365,                0.58013,                0.56896,                0.33349,                 1.5867,                 1.4735,                 1.5488,             0.00044165,             0.00044165,             0.00044165
                     69,                0.61304,                0.53629,                0.97261,                0.55769,                0.57201,                0.56712,                 0.3398,                 1.5299,                 1.4453,                 1.4955,             0.00042691,             0.00042691,             0.00042691
                     70,                0.63583,                0.54313,                0.97712,                0.58329,                0.57631,                0.58977,                0.35325,                 1.5338,                 1.4296,                 1.4776,             0.00041218,             0.00041218,             0.00041218
                     71,                0.61342,                0.53944,                0.97628,                0.59887,                 0.5868,                0.57909,                 0.3507,                 1.5153,                 1.4506,                 1.4896,             0.00039744,             0.00039744,             0.00039744
                     72,                0.61099,                0.52673,                0.97366,                0.65771,                0.58167,                0.60495,                0.36032,                 1.5287,                 1.4004,                 1.5047,              0.0003827,              0.0003827,              0.0003827
                     73,                0.59994,                0.53125,                0.97042,                0.58995,                0.58441,                 0.5972,                 0.3602,                 1.5234,                 1.4198,                 1.4906,             0.00036797,             0.00036797,             0.00036797
                     74,                0.59687,                0.53161,                0.96675,                0.56352,                 0.5622,                0.57072,                0.34641,                 1.5139,                 1.4475,                  1.491,             0.00035323,             0.00035323,             0.00035323
                     75,                0.59498,                0.52458,                0.96711,                0.62002,                0.58201,                0.58732,                0.35668,                 1.5019,                  1.435,                  1.481,             0.00033849,             0.00033849,             0.00033849
                     76,                0.58244,                0.51437,                0.96646,                0.60165,                0.58662,                0.59133,                0.35529,                 1.5192,                 1.4465,                 1.4947,             0.00032376,             0.00032376,             0.00032376
                     77,                 0.5912,                0.52724,                0.96123,                0.64391,                0.57412,                0.58307,                0.35679,                 1.4724,                   1.42,                 1.4691,             0.00030902,             0.00030902,             0.00030902
                     78,                0.58377,                0.51128,                0.96155,                0.62363,                0.57613,                0.59374,                0.36419,                 1.5021,                 1.3848,                 1.4822,             0.00029428,             0.00029428,             0.00029428
                     79,                0.57746,                0.49858,                0.95964,                0.62668,                0.56347,                0.58745,                0.35757,                 1.4987,                 1.3838,                 1.4792,             0.00027955,             0.00027955,             0.00027955
                     80,                 0.5768,                0.50279,                0.96228,                0.63509,                0.58981,                0.61542,                0.38046,                 1.4704,                  1.363,                 1.4576,             0.00026481,             0.00026481,             0.00026481
                     81,                0.56626,                0.49132,                0.95348,                0.62092,                0.59712,                0.60573,                0.37112,                 1.4632,                 1.3777,                 1.4636,             0.00025007,             0.00025007,             0.00025007
                     82,                0.57195,                0.49587,                0.95764,                0.59797,                0.61019,                0.61163,                 0.3775,                 1.4832,                 1.3768,                 1.4637,             0.00023534,             0.00023534,             0.00023534
                     83,                0.57358,                0.50286,                0.95875,                0.64345,                 0.5901,                 0.6132,                0.38286,                 1.4638,                 1.3531,                 1.4563,              0.0002206,              0.0002206,              0.0002206
                     84,                0.57319,                0.50205,                0.96377,                0.59165,                0.60468,                0.60594,                0.36522,                 1.4675,                 1.3545,                 1.4626,             0.00020587,             0.00020587,             0.00020587
                     85,                0.56775,                0.48883,                0.95237,                0.60791,                0.59625,                0.60878,                0.37218,                 1.4714,                 1.3492,                 1.4623,             0.00019113,             0.00019113,             0.00019113
                     86,                0.55399,                0.48723,                0.95743,                0.62306,                 0.6015,                0.61515,                 0.3834,                 1.4566,                 1.3407,                 1.4648,             0.00017639,             0.00017639,             0.00017639
                     87,                 1.4271,                 1.3635,                 1.4063,                0.64274,                0.57534,                0.60731,                0.36811,                 1.4696,                 1.3559,                 1.4651,             0.00016166,             0.00016166,             0.00016166
                     88,                 1.3338,                 1.2354,                 1.3396,                0.63391,                0.62741,                0.62962,                0.38847,                 1.4411,                 1.2954,                  1.428,             0.00014692,             0.00014692,             0.00014692
                     89,                 1.3141,                 1.2068,                 1.3352,                0.64871,                0.61368,                0.62918,                 0.3902,                 1.4241,                 1.2824,                   1.42,             0.00013218,             0.00013218,             0.00013218
                     90,                 1.2906,                 1.1761,                 1.3274,                0.65287,                0.60661,                0.64962,                0.40203,                 1.4126,                 1.2772,                 1.3948,             0.00011745,             0.00011745,             0.00011745
                     91,                 1.2902,                  1.161,                 1.3014,                0.64977,                0.61737,                0.64818,                 0.4046,                 1.4076,                 1.2619,                  1.389,             0.00010271,             0.00010271,             0.00010271
                     92,                 1.2818,                 1.1443,                 1.3042,                0.67301,                0.63487,                0.65125,                0.40567,                 1.3963,                 1.2577,                 1.3961,             8.7973e-05,             8.7973e-05,             8.7973e-05
                     93,                 1.2617,                  1.112,                 1.2914,                0.65379,                 0.6405,                0.65129,                0.40818,                 1.3914,                 1.2374,                 1.3832,             7.3236e-05,             7.3236e-05,             7.3236e-05
                     94,                 1.2454,                 1.0977,                 1.2766,                 0.6522,                0.64527,                0.65767,                0.41461,                   1.38,                 1.2252,                 1.3755,               5.85e-05,               5.85e-05,               5.85e-05
                     95,                   1.25,                 1.0901,                 1.2782,                0.68011,                0.63115,                0.66409,                 0.4169,                 1.3746,                  1.227,                 1.3748,             4.3763e-05,             4.3763e-05,             4.3763e-05
                     96,                 1.2479,                 1.1068,                 1.2897,                0.68011,                0.62326,                0.66088,                0.41289,                 1.3742,                 1.2278,                 1.3774,             2.9027e-05,             2.9027e-05,             2.9027e-05
